,STATISTICAL_MURDER_FLAG,BORO,PERP_SEX,PERP_AGE_GROUP,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Hour,Month,Year
2829,1,2,0.0,1.0,1.0,1.0,0.0,1.0,23,5,2011
2845,1,2,0.0,1.0,1.0,2.0,0.0,2.0,0,8,2015
2851,1,2,0.0,2.0,1.0,2.0,0.0,1.0,11,9,2007
2859,1,1,1.0,2.0,1.0,2.0,0.0,1.0,11,5,2018
2862,1,0,0.0,1.0,2.0,2.0,0.0,2.0,4,11,2018
2881,1,1,0.0,2.0,1.0,2.0,0.0,2.0,21,4,2021
2889,1,2,0.0,2.0,1.0,2.0,0.0,1.0,21,6,2011
2898,1,1,0.0,2.0,2.0,0.0,0.0,1.0,15,12,2011
2899,1,2,0.0,1.0,1.0,1.0,0.0,1.0,17,7,2006
2910,1,3,0.0,2.0,2.0,2.0,0.0,3.0,18,6,2012
2925,1,0,0.0,0.0,1.0,2.0,0.0,1.0,14,7,2020
